concepto_turistico,total_nacional,comunidades_y_ciudades_autonomas,residencia_del_viajero,periodo,total
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2023-09-01,1019000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2023-08-01,1287000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2023-07-01,1164000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2023-06-01,775000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2023-05-01,691000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2023-04-01,772000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2023-03-01,544000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2023-02-01,463000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2023-01-01,411000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2022-12-01,588000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2022-11-01,512000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2022-10-01,729000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2022-09-01,839000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2022-08-01,1097000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2022-07-01,1025000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2022-06-01,805000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2022-05-01,687000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2022-04-01,714000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2022-03-01,472000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2022-02-01,433000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2022-01-01,343000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2021-12-01,460000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2021-11-01,403000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2021-10-01,583000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2021-09-01,596000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2021-08-01,890000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2021-07-01,752000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2021-06-01,449000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2021-05-01,303000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2021-04-01,193000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2021-03-01,169000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2021-02-01,99000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2021-01-01,104000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2020-12-01,151000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2020-11-01,97000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2020-10-01,218000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2020-09-01,305000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2020-08-01,635000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2020-07-01,488000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2020-06-01,141000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2020-05-01,32000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2020-04-01,14000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2020-03-01,198000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2020-02-01,504000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2020-01-01,422000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2019-12-01,526000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2019-11-01,484000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2019-10-01,682000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2019-09-01,795000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2019-08-01,1027000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2019-07-01,883000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2019-06-01,768000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2019-05-01,681000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2019-04-01,665000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2019-03-01,510000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2019-02-01,417000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2019-01-01,387000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2018-12-01,449000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2018-11-01,423000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2018-10-01,610000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2018-09-01,710000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2018-08-01,908000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2018-07-01,807000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2018-06-01,653000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2018-05-01,579000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2018-04-01,539000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2018-03-01,487000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2018-02-01,356000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Total ,2018-01-01,328000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2023-09-01,446000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2023-08-01,693000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2023-07-01,597000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2023-06-01,339000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2023-05-01,231000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2023-04-01,351000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2023-03-01,222000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2023-02-01,196000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2023-01-01,171000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2022-12-01,308000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2022-11-01,217000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2022-10-01,297000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2022-09-01,380000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2022-08-01,595000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2022-07-01,528000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2022-06-01,377000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2022-05-01,268000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2022-04-01,348000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2022-03-01,190000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2022-02-01,205000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2022-01-01,166000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2021-12-01,255000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2021-11-01,175000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2021-10-01,290000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2021-09-01,332000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2021-08-01,600000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2021-07-01,500000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2021-06-01,314000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2021-05-01,194000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2021-04-01,132000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2021-03-01,119000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2021-02-01,66000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2021-01-01,68000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2020-12-01,103000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2020-11-01,62000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2020-10-01,161000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2020-09-01,245000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2020-08-01,498000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2020-07-01,357000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2020-06-01,123000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2020-05-01,24000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2020-04-01,7000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2020-03-01,76000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2020-02-01,224000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2020-01-01,172000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2019-12-01,253000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2019-11-01,204000.0
Número de alojamientos turísticos ocupados,Total Nacional,Total Nacional,Residentes en España,2019-10-01,231000.0
